Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to give ],REGALARE, CONDIZIONALE, Passato, io avrei regalato, tu avresti regalato, lui/lei avrebbe regalato, noi avremmo regalato, voi avreste regalato, loro avrebbero regalato
[to give ],REGALARE, IMPERATIVO, IMPERATIVO, PRESENTE,  regala, regali, regaliamo, regalate, regalino
[to beat/defeat ],BATTERE, INDICATIVO, PRESENTE, io batto, tu batti, lui/lei batte, noi battiamo, voi battete, loro battono
[to beat/defeat ],BATTERE, INDICATIVO, IMPERFETTO, io battevo, tu battevi, lui/lei batteva, noi battevamo, voi battevate, loro battevano
[to beat/defeat ],BATTERE, INDICATIVO, PASSATO REMOTO, io battei, tu battesti, lui/lei batté, noi battemmo, voi batteste, loro batterono
[to beat/defeat ],BATTERE, INDICATIVO, FUTURO SEMPLICE, io batterò, tu batterai, lui/lei batterà, noi batteremo, voi batterete, loro batteranno
[to beat/defeat ],BATTERE, INDICATIVO, PASSATO PROSSIMO, io ho battuto, tu hai battuto, lui/lei ha battuto, noi abbiamo battuto, voi avete battuto, loro hanno battuto
[to beat/defeat ],BATTERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo battuto, tu avevi battuto, lui/lei aveva battuto, noi avevamo battuto, voi avevate battuto, loro avevano battuto
[to beat/defeat ],BATTERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi battuto, tu avesti battuto, lui/lei ebbe battuto, noi avemmo battuto, voi aveste battuto, loro ebbero battuto
[to beat/defeat ],BATTERE, INDICATIVO, FUTURO ANTERIORE, io avrò battuto, tu avrai battuto, lui/lei avrà battuto, noi avremo battuto, voi avrete battuto, loro avranno battuto
[to beat/defeat ],BATTERE, CONGIUNTIVO, PRESENTE, che io batta, che tu batta, che lui/lei batta, che noi battiamo, che voi battiate, che loro battano
[to beat/defeat ],BATTERE, CONGIUNTIVO, IMPERFETTO, che io battessi, che tu battessi, che lui/lei battesse, che noi battessimo, che voi batteste, che loro battessero
[to beat/defeat ],BATTERE, CONGIUNTIVO, PASSATO, che io abbia battuto, che tu abbia battuto, che lui/lei abbia battuto, che noi abbiamo battuto, che voi abbiate battuto, che loro abbiano battuto
[to beat/defeat ],BATTERE, CONGIUNTIVO, TRAPASSATO, che io avessi battuto, che tu avessi battuto, che lui/lei avesse battuto, che noi avessimo battuto, che voi aveste battuto, che loro avessero battuto
[to beat/defeat ],BATTERE, CONDIZIONALE, Presente, io batterei, tu batteresti, lui/lei batterebbe, noi batteremmo, voi battereste, loro batterebbero
[to beat/defeat ],BATTERE, CONDIZIONALE, Passato, io avrei battuto, tu avresti battuto, lui/lei avrebbe battuto, noi avremmo battuto, voi avreste battuto, loro avrebbero battuto
[to beat/defeat ],BATTERE, IMPERATIVO, IMPERATIVO, PRESENTE,  batti, batta, battiamo, battete, battano
[to debate ],TRATTARE, INDICATIVO, PRESENTE, io tratto, tu tratti, lui/lei tratta, noi trattiamo, voi trattate, loro trattano
[to debate ],TRATTARE, INDICATIVO, IMPERFETTO, io trattavo, tu trattavi, lui/lei trattava, noi trattavamo, voi trattavate, loro trattavano
[to debate ],TRATTARE, INDICATIVO, PASSATO REMOTO, io trattai, tu trattasti, lui/lei trattò, noi trattammo, voi trattaste, loro trattarono
[to debate ],TRATTARE, INDICATIVO, FUTURO SEMPLICE, io tratterò, tu tratterai, lui/lei tratterà, noi tratteremo, voi tratterete, loro tratteranno
[to debate ],TRATTARE, INDICATIVO, PASSATO PROSSIMO, io ho trattato, tu hai trattato, lui/lei ha trattato, noi abbiamo trattato, voi avete trattato, loro hanno trattato
[to debate ],TRATTARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo trattato, tu avevi trattato, lui/lei aveva trattato, noi avevamo trattato, voi avevate trattato, loro avevano trattato
[to debate ],TRATTARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi trattato, tu avesti trattato, lui/lei ebbe trattato, noi avemmo trattato, voi aveste trattato, loro ebbero trattato
[to debate ],TRATTARE, INDICATIVO, FUTURO ANTERIORE, io avrò trattato, tu avrai trattato, lui/lei avrà trattato, noi avremo trattato, voi avrete trattato, loro avranno trattato
[to debate ],TRATTARE, CONGIUNTIVO, PRESENTE, che io tratti, che tu tratti, che lui/lei tratti, che noi trattiamo, che voi trattiate, che loro trattino
[to debate ],TRATTARE, CONGIUNTIVO, IMPERFETTO, che io trattassi, che tu trattassi, che lui/lei trattasse, che noi trattassimo, che voi trattaste, che loro trattassero
[to debate ],TRATTARE, CONGIUNTIVO, PASSATO, che io abbia trattato, che tu abbia trattato, che lui/lei abbia trattato, che noi abbiamo trattato, che voi abbiate trattato, che loro abbiano trattato
[to debate ],TRATTARE, CONGIUNTIVO, TRAPASSATO, che io avessi trattato, che tu avessi trattato, che lui/lei avesse trattato, che noi avessimo trattato, che voi aveste trattato, che loro avessero trattato
[to debate ],TRATTARE, CONDIZIONALE, Presente, io tratterei, tu tratteresti, lui/lei tratterebbe, noi tratteremmo, voi trattereste, loro tratterebbero
[to debate ],TRATTARE, CONDIZIONALE, Passato, io avrei trattato, tu avresti trattato, lui/lei avrebbe trattato, noi avremmo trattato, voi avreste trattato, loro avrebbero trattato
[to debate ],TRATTARE, IMPERATIVO, IMPERATIVO, PRESENTE,  tratta, tratti, trattiamo, trattate, trattino
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, PRESENTE, io sciolgo, tu sciogli, lui/lei scioglie, noi sciogliamo, voi sciogliete, loro sciolgono
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, IMPERFETTO, io scioglievo, tu scioglievi, lui/lei scioglieva, noi scioglievamo, voi scioglievate, loro scioglievano
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, PASSATO REMOTO, io sciolsi, tu sciogliesti, lui/lei sciolse, noi sciogliemmo, voi scioglieste, loro sciolsero
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, FUTURO SEMPLICE, io scioglierò, tu scioglierai, lui/lei scioglierà, noi scioglieremo, voi scioglierete, loro scioglieranno
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, PASSATO PROSSIMO, io ho sciolto, tu hai sciolto, lui/lei ha sciolto, noi abbiamo sciolto, voi avete sciolto, loro hanno sciolto
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo sciolto, tu avevi sciolto, lui/lei aveva sciolto, noi avevamo sciolto, voi avevate sciolto, loro avevano sciolto
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi sciolto, tu avesti sciolto, lui/lei ebbe sciolto, noi avemmo sciolto, voi aveste sciolto, loro ebbero sciolto
[to melt/liquefy ],SCIOGLIERE, INDICATIVO, FUTURO ANTERIORE, io avrò sciolto, tu avrai sciolto, lui/lei avrà sciolto, noi avremo sciolto, voi avrete sciolto, loro avranno sciolto
[to melt/liquefy ],SCIOGLIERE, CONGIUNTIVO, PRESENTE, che io sciolga, che tu sciolga, che lui/lei sciolga, che noi sciogliamo, che voi sciogliate, che loro sciolgano
[to melt/liquefy ],SCIOGLIERE, CONGIUNTIVO, IMPERFETTO, che io sciogliessi, che tu sciogliessi, che lui/lei sciogliesse, che noi sciogliessimo, che voi scioglieste, che loro sciogliessero
[to melt/liquefy ],SCIOGLIERE, CONGIUNTIVO, PASSATO, che io abbia sciolto, che tu abbia sciolto, che lui/lei abbia sciolto, che noi abbiamo sciolto, che voi abbiate sciolto, che loro abbiano sciolto
[to melt/liquefy ],SCIOGLIERE, CONGIUNTIVO, TRAPASSATO, che io avessi sciolto, che tu avessi sciolto, che lui/lei avesse sciolto, che noi avessimo sciolto, che voi aveste sciolto, che loro avessero sciolto
[to melt/liquefy ],SCIOGLIERE, CONDIZIONALE, Presente, io scioglierei, tu scioglieresti, lui/lei scioglierebbe, noi scioglieremmo, voi sciogliereste, loro scioglierebbero
[to melt/liquefy ],SCIOGLIERE, CONDIZIONALE, Passato, io avrei sciolto, tu avresti sciolto, lui/lei avrebbe sciolto, noi avremmo sciolto, voi avreste sciolto, loro avrebbero sciolto
[to melt/liquefy ],SCIOGLIERE, IMPERATIVO, IMPERATIVO, PRESENTE,  sciogli, sciolga, sciogliamo, sciogliete, sciolgano
[to cure ],GUARIRE, INDICATIVO, PRESENTE, io guarisco, tu guarisci, lui/lei guarisce, noi guariamo, voi guarite, loro guariscono
[to cure ],GUARIRE, INDICATIVO, IMPERFETTO, io guarivo, tu guarivi, lui/lei guariva, noi guarivamo, voi guarivate, loro guarivano
[to cure ],GUARIRE, INDICATIVO, PASSATO REMOTO, io guarii, tu guaristi, lui/lei guarì, noi guarimmo, voi guariste, loro guarirono
[to cure ],GUARIRE, INDICATIVO, FUTURO SEMPLICE, io guarirò, tu guarirai, lui/lei guarirà, noi guariremo, voi guarirete, loro guariranno
[to cure ],GUARIRE, INDICATIVO, PASSATO PROSSIMO, io sono guarito/a, tu sei guarito/a, lui/lei è guarito/a, noi siamo guariti/e, voi siete guariti/e, loro sono guariti/e
[to cure ],GUARIRE, INDICATIVO, TRAPASSATO PROSSIMO, io ero guarito/a, tu eri guarito/a, lui/lei era guarito/a, noi eravamo guariti/e, voi eravate guariti/e, loro erano guariti/e
[to cure ],GUARIRE, INDICATIVO, TRAPASSATO REMOTO, io fui guarito/a, tu fosti guarito/a, lui/lei fu guarito/a, noi fummo guariti/e, voi foste guariti/e, loro furono guariti/e
[to cure ],GUARIRE, INDICATIVO, FUTURO ANTERIORE, io sarò guarito/a, tu sarai guarito/a, lui/lei sarà guarito/a, noi saremo guariti/e, voi sarete guariti/e, loro saranno guariti/e
[to cure ],GUARIRE, CONGIUNTIVO, PRESENTE, che io guarisca, che tu guarisca, che lui/lei guarisca, che noi guariamo, che voi guariate, che loro guariscano
[to cure ],GUARIRE, CONGIUNTIVO, IMPERFETTO, che io guarissi, che tu guarissi, che lui/lei guarisse, che noi guarissimo, che voi guariste, che loro guarissero
[to cure ],GUARIRE, CONGIUNTIVO, PASSATO, che io sia guarito/a, che tu sia guarito/a, che lui/lei sia guarito/a, che noi siamo guariti/e, che voi siate guariti/e, che loro siano guariti/e
[to cure ],GUARIRE, CONGIUNTIVO, TRAPASSATO, che io fossi guarito/a, che tu fossi guarito/a, che lui/lei fosse guarito/a, che noi fossimo guariti/e, che voi foste guariti/e, che loro fossero guariti/e
[to cure ],GUARIRE, CONDIZIONALE, Presente, io guarirei, tu guariresti, lui/lei guarirebbe, noi guariremmo, voi guarireste, loro guarirebbero
[to cure ],GUARIRE, CONDIZIONALE, Passato, io sarei guarito/a, tu saresti guarito/a, lui/lei sarebbe guarito/a, noi saremmo guariti/e, voi sareste guariti/e, loro sarebbero guariti/e
[to cure ],GUARIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  guarisci, guarisca, guariamo, guarite, guariscano
[to subtract ],SOTTRARRE, INDICATIVO, PRESENTE, io sottraggo, tu sottrai, lui/lei sottrae, noi sottraiamo, voi sottraete, loro sottraggono
[to subtract ],SOTTRARRE, INDICATIVO, IMPERFETTO, io sottraevo, tu sottraevi, lui/lei sottraeva, noi sottraevamo, voi sottraevate, loro sottraevano
[to subtract ],SOTTRARRE, INDICATIVO, PASSATO REMOTO, io sottrassi, tu sottraesti, lui/lei sottrasse, noi sottraemmo, voi sottraeste, loro sottrassero
[to subtract ],SOTTRARRE, INDICATIVO, FUTURO SEMPLICE, io sottrarrò, tu sottrarrai, lui/lei sottrarrà, noi sottrarremo, voi sottrarrete, loro sottrarranno
[to subtract ],SOTTRARRE, INDICATIVO, PASSATO PROSSIMO, io ho sottratto, tu hai sottratto, lui/lei ha sottratto, noi abbiamo sottratto, voi avete sottratto, loro hanno sottratto
[to subtract ],SOTTRARRE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo sottratto, tu avevi sottratto, lui/lei aveva sottratto, noi avevamo sottratto, voi avevate sottratto, loro avevano sottratto
[to subtract ],SOTTRARRE, INDICATIVO, TRAPASSATO REMOTO, io ebbi sottratto, tu avesti sottratto, lui/lei ebbe sottratto, noi avemmo sottratto, voi aveste sottratto, loro ebbero sottratto
[to subtract ],SOTTRARRE, INDICATIVO, FUTURO ANTERIORE, io avrò sottratto, tu avrai sottratto, lui/lei avrà sottratto, noi avremo sottratto, voi avrete sottratto, loro avranno sottratto
[to subtract ],SOTTRARRE, CONGIUNTIVO, PRESENTE, che io sottragga, che tu sottragga, che lui/lei sottragga, che noi sottraiamo, che voi sottraiate, che loro sottraggano
[to subtract ],SOTTRARRE, CONGIUNTIVO, IMPERFETTO, che io sottraessi, che tu sottraessi, che lui/lei sottraesse, che noi sottraessimo, che voi sottraeste, che loro sottraessero
[to subtract ],SOTTRARRE, CONGIUNTIVO, PASSATO, che io abbia sottratto, che tu abbia sottratto, che lui/lei abbia sottratto, che noi abbiamo sottratto, che voi abbiate sottratto, che loro abbiano sottratto
[to subtract ],SOTTRARRE, CONGIUNTIVO, TRAPASSATO, che io avessi sottratto, che tu avessi sottratto, che lui/lei avesse sottratto, che noi avessimo sottratto, che voi aveste sottratto, che loro avessero sottratto
[to subtract ],SOTTRARRE, CONDIZIONALE, Presente, io sottrarrei, tu sottrarresti, lui/lei sottrarrebbe, noi sottrarremmo, voi sottrarreste, loro sottrarrebbero
[to subtract ],SOTTRARRE, CONDIZIONALE, Passato, io avrei sottratto, tu avresti sottratto, lui/lei avrebbe sottratto, noi avremmo sottratto, voi avreste sottratto, loro avrebbero sottratto
[to subtract ],SOTTRARRE, IMPERATIVO, IMPERATIVO, PRESENTE,  sottrai, sottragga, sottraiamo, sottraete, sottraggano
[to occupy ],OCCUPARE, INDICATIVO, PRESENTE, io occupo, tu occupi, lui/lei occupa, noi occupiamo, voi occupate, loro occupano
[to occupy ],OCCUPARE, INDICATIVO, IMPERFETTO, io occupavo, tu occupavi, lui/lei occupava, noi occupavamo, voi occupavate, loro occupavano
[to occupy ],OCCUPARE, INDICATIVO, PASSATO REMOTO, io occupai, tu occupasti, lui/lei occupò, noi occupammo, voi occupaste, loro occuparono
[to occupy ],OCCUPARE, INDICATIVO, FUTURO SEMPLICE, io occuperò, tu occuperai, lui/lei occuperà, noi occuperemo, voi occuperete, loro occuperanno
[to occupy ],OCCUPARE, INDICATIVO, PASSATO PROSSIMO, io ho occupato, tu hai occupato, lui/lei ha occupato, noi abbiamo occupato, voi avete occupato, loro hanno occupato
[to occupy ],OCCUPARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo occupato, tu avevi occupato, lui/lei aveva occupato, noi avevamo occupato, voi avevate occupato, loro avevano occupato
[to occupy ],OCCUPARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi occupato, tu avesti occupato, lui/lei ebbe occupato, noi avemmo occupato, voi aveste occupato, loro ebbero occupato
[to occupy ],OCCUPARE, INDICATIVO, FUTURO ANTERIORE, io avrò occupato, tu avrai occupato, lui/lei avrà occupato, noi avremo occupato, voi avrete occupato, loro avranno occupato
[to occupy ],OCCUPARE, CONGIUNTIVO, PRESENTE, che io occupi, che tu occupi, che lui/lei occupi, che noi occupiamo, che voi occupiate, che loro occupino
[to occupy ],OCCUPARE, CONGIUNTIVO, IMPERFETTO, che io occupassi, che tu occupassi, che lui/lei occupasse, che noi occupassimo, che voi occupaste, che loro occupassero
[to occupy ],OCCUPARE, CONGIUNTIVO, PASSATO, che io abbia occupato, che tu abbia occupato, che lui/lei abbia occupato, che noi abbiamo occupato, che voi abbiate occupato, che loro abbiano occupato
[to occupy ],OCCUPARE, CONGIUNTIVO, TRAPASSATO, che io avessi occupato, che tu avessi occupato, che lui/lei avesse occupato, che noi avessimo occupato, che voi aveste occupato, che loro avessero occupato
[to occupy ],OCCUPARE, CONDIZIONALE, Presente, io occuperei, tu occuperesti, lui/lei occuperebbe, noi occuperemmo, voi occupereste, loro occuperebbero
[to occupy ],OCCUPARE, CONDIZIONALE, Passato, io avrei occupato, tu avresti occupato, lui/lei avrebbe occupato, noi avremmo occupato, voi avreste occupato, loro avrebbero occupato
[to occupy ],OCCUPARE, IMPERATIVO, IMPERATIVO, PRESENTE,  occupa, occupi, occupiamo, occupate, occupino
[to include ],COMPRENDERE, INDICATIVO, PRESENTE, io comprendo, tu comprendi, lui/lei comprende, noi comprendiamo, voi comprendete, loro comprendono
[to include ],COMPRENDERE, INDICATIVO, IMPERFETTO, io comprendevo, tu comprendevi, lui/lei comprendeva, noi comprendevamo, voi comprendevate, loro comprendevano
[to include ],COMPRENDERE, INDICATIVO, PASSATO REMOTO, io compresi, tu comprendesti, lui/lei comprese, noi comprendemmo, voi comprendeste, loro compresero
[to include ],COMPRENDERE, INDICATIVO, FUTURO SEMPLICE, io comprenderò, tu comprenderai, lui/lei comprenderà, noi comprenderemo, voi comprenderete, loro comprenderanno
[to include ],COMPRENDERE, INDICATIVO, PASSATO PROSSIMO, io ho compreso, tu hai compreso, lui/lei ha compreso, noi abbiamo compreso, voi avete compreso, loro hanno compreso
[to include ],COMPRENDERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo compreso, tu avevi compreso, lui/lei aveva compreso, noi avevamo compreso, voi avevate compreso, loro avevano compreso
[to include ],COMPRENDERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi compreso, tu avesti compreso, lui/lei ebbe compreso, noi avemmo compreso, voi aveste compreso, loro ebbero compreso
[to include ],COMPRENDERE, INDICATIVO, FUTURO ANTERIORE, io avrò compreso, tu avrai compreso, lui/lei avrà compreso, noi avremo compreso, voi avrete compreso, loro avranno compreso
[to include ],COMPRENDERE, CONGIUNTIVO, PRESENTE, che io comprenda, che tu comprenda, che lui/lei comprenda, che noi comprendiamo, che voi comprendiate, che loro comprendano
[to include ],COMPRENDERE, CONGIUNTIVO, IMPERFETTO, che io comprendessi, che tu comprendessi, che lui/lei comprendesse, che noi comprendessimo, che voi comprendeste, che loro comprendessero
[to include ],COMPRENDERE, CONGIUNTIVO, PASSATO, che io abbia compreso, che tu abbia compreso, che lui/lei abbia compreso, che noi abbiamo compreso, che voi abbiate compreso, che loro abbiano compreso
[to include ],COMPRENDERE, CONGIUNTIVO, TRAPASSATO, che io avessi compreso, che tu avessi compreso, che lui/lei avesse compreso, che noi avessimo compreso, che voi aveste compreso, che loro avessero compreso
[to include ],COMPRENDERE, CONDIZIONALE, Presente, io comprenderei, tu comprenderesti, lui/lei comprenderebbe, noi comprenderemmo, voi comprendereste, loro comprenderebbero
[to include ],COMPRENDERE, CONDIZIONALE, Passato, io avrei compreso, tu avresti compreso, lui/lei avrebbe compreso, noi avremmo compreso, voi avreste compreso, loro avrebbero compreso
[to include ],COMPRENDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  comprendi, comprenda, comprendiamo, comprendete, comprendano
[to display/exhibit/show ],MOSTRARE, INDICATIVO, PRESENTE, io mostro, tu mostri, lui/lei mostra, noi mostriamo, voi mostrate, loro mostrano
[to display/exhibit/show ],MOSTRARE, INDICATIVO, IMPERFETTO, io mostravo, tu mostravi, lui/lei mostrava, noi mostravamo, voi mostravate, loro mostravano
[to display/exhibit/show ],MOSTRARE, INDICATIVO, PASSATO REMOTO, io mostrai, tu mostrasti, lui/lei mostrò, noi mostrammo, voi mostraste, loro mostrarono
[to display/exhibit/show ],MOSTRARE, INDICATIVO, FUTURO SEMPLICE, io mostrerò, tu mostrerai, lui/lei mostrerà, noi mostreremo, voi mostrerete, loro mostreranno
[to display/exhibit/show ],MOSTRARE, INDICATIVO, PASSATO PROSSIMO, io sono mostrato/a, tu sei mostrato/a, lui/lei è mostrato/a, noi siamo mostrati/e, voi siete mostrati/e, loro sono mostrati/e
[to display/exhibit/show ],MOSTRARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero mostrato/a, tu eri mostrato/a, lui/lei era mostrato/a, noi eravamo mostrati/e, voi eravate mostrati/e, loro erano mostrati/e
[to display/exhibit/show ],MOSTRARE, INDICATIVO, TRAPASSATO REMOTO, io fui mostrato/a, tu fosti mostrato/a, lui/lei fu mostrato/a, noi fummo mostrati/e, voi foste mostrati/e, loro furono mostrati/e
[to display/exhibit/show ],MOSTRARE, INDICATIVO, FUTURO ANTERIORE, io sarò mostrato/a, tu sarai mostrato/a, lui/lei sarà mostrato/a, noi saremo mostrati/e, voi sarete mostrati/e, loro saranno mostrati/e
[to display/exhibit/show ],MOSTRARE, CONGIUNTIVO, PRESENTE, che io mostri, che tu mostri, che lui/lei mostri, che noi mostriamo, che voi mostriate, che loro mostrino
[to display/exhibit/show ],MOSTRARE, CONGIUNTIVO, IMPERFETTO, che io mostrassi, che tu mostrassi, che lui/lei mostrasse, che noi mostrassimo, che voi mostraste, che loro mostrassero
[to display/exhibit/show ],MOSTRARE, CONGIUNTIVO, PASSATO, che io sia mostrato/a, che tu sia mostrato/a, che lui/lei sia mostrato/a, che noi siamo mostrati/e, che voi siate mostrati/e, che loro siano mostrati/e
[to display/exhibit/show ],MOSTRARE, CONGIUNTIVO, TRAPASSATO, che io fossi mostrato/a, che tu fossi mostrato/a, che lui/lei fosse mostrato/a, che noi fossimo mostrati/e, che voi foste mostrati/e, che loro fossero mostrati/e
[to display/exhibit/show ],MOSTRARE, CONDIZIONALE, Presente, io mostrerei, tu mostreresti, lui/lei mostrerebbe, noi mostreremmo, voi mostrereste, loro mostrerebbero
[to display/exhibit/show ],MOSTRARE, CONDIZIONALE, Passato, io sarei mostrato/a, tu saresti mostrato/a, lui/lei sarebbe mostrato/a, noi saremmo mostrati/e, voi sareste mostrati/e, loro sarebbero mostrati/e
[to display/exhibit/show ],MOSTRARE, IMPERATIVO, IMPERATIVO, PRESENTE,  mostra, mostri, mostriamo, mostrate, mostrino
[to identify ],RICONOSCERE, INDICATIVO, PRESENTE, io riconosco, tu riconosci, lui/lei riconosce, noi riconosciamo, voi riconoscete, loro riconoscono
[to identify ],RICONOSCERE, INDICATIVO, IMPERFETTO, io riconoscevo, tu riconoscevi, lui/lei riconosceva, noi riconoscevamo, voi riconoscevate, loro riconoscevano
[to identify ],RICONOSCERE, INDICATIVO, PASSATO REMOTO, io riconobbi, tu riconoscesti, lui/lei riconobbe, noi riconoscemmo, voi riconosceste, loro riconobbero
[to identify ],RICONOSCERE, INDICATIVO, FUTURO SEMPLICE, io riconoscerò, tu riconoscerai, lui/lei riconoscerà, noi riconosceremo, voi riconoscerete, loro riconosceranno
[to identify ],RICONOSCERE, INDICATIVO, PASSATO PROSSIMO, io ho riconosciuto, tu hai riconosciuto, lui/lei ha riconosciuto, noi abbiamo riconosciuto, voi avete riconosciuto, loro hanno riconosciuto
[to identify ],RICONOSCERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo riconosciuto, tu avevi riconosciuto, lui/lei aveva riconosciuto, noi avevamo riconosciuto, voi avevate riconosciuto, loro avevano riconosciuto
[to identify ],RICONOSCERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi riconosciuto, tu avesti riconosciuto, lui/lei ebbe riconosciuto, noi avemmo riconosciuto, voi aveste riconosciuto, loro ebbero riconosciuto
[to identify ],RICONOSCERE, INDICATIVO, FUTURO ANTERIORE, io avrò riconosciuto, tu avrai riconosciuto, lui/lei avrà riconosciuto, noi avremo riconosciuto, voi avrete riconosciuto, loro avranno riconosciuto
[to identify ],RICONOSCERE, CONGIUNTIVO, PRESENTE, che io riconosca, che tu riconosca, che lui/lei riconosca, che noi riconosciamo, che voi riconosciate, che loro riconoscano
[to identify ],RICONOSCERE, CONGIUNTIVO, IMPERFETTO, che io riconoscessi, che tu riconoscessi, che lui/lei riconoscesse, che noi riconoscessimo, che voi riconosceste, che loro riconoscessero
[to identify ],RICONOSCERE, CONGIUNTIVO, PASSATO, che io abbia riconosciuto, che tu abbia riconosciuto, che lui/lei abbia riconosciuto, che noi abbiamo riconosciuto, che voi abbiate riconosciuto, che loro abbiano riconosciuto
[to identify ],RICONOSCERE, CONGIUNTIVO, TRAPASSATO, che io avessi riconosciuto, che tu avessi riconosciuto, che lui/lei avesse riconosciuto, che noi avessimo riconosciuto, che voi aveste riconosciuto, che loro avessero riconosciuto
[to identify ],RICONOSCERE, CONDIZIONALE, Presente, io riconoscerei, tu riconosceresti, lui/lei riconoscerebbe, noi riconosceremmo, voi riconoscereste, loro riconoscerebbero
[to identify ],RICONOSCERE, CONDIZIONALE, Passato, io avrei riconosciuto, tu avresti riconosciuto, lui/lei avrebbe riconosciuto, noi avremmo riconosciuto, voi avreste riconosciuto, loro avrebbero riconosciuto
[to identify ],RICONOSCERE, IMPERATIVO, IMPERATIVO, PRESENTE,  riconosci, riconosca, riconosciamo, riconoscete, riconoscano
[to register ],ISCRIVERE, INDICATIVO, PRESENTE, io iscrivo, tu iscrivi, lui/lei iscrive, noi iscriviamo, voi iscrivete, loro iscrivono
[to register ],ISCRIVERE, INDICATIVO, IMPERFETTO, io iscrivevo, tu iscrivevi, lui/lei iscriveva, noi iscrivevamo, voi iscrivevate, loro iscrivevano
[to register ],ISCRIVERE, INDICATIVO, PASSATO REMOTO, io iscrissi, tu iscrivesti, lui/lei iscrisse, noi iscrivemmo, voi iscriveste, loro iscrissero
[to register ],ISCRIVERE, INDICATIVO, FUTURO SEMPLICE, io iscriverò, tu iscriverai, lui/lei iscriverà, noi iscriveremo, voi iscriverete, loro iscriveranno
[to register ],ISCRIVERE, INDICATIVO, PASSATO PROSSIMO, io ho iscritto, tu hai iscritto, lui/lei ha iscritto, noi abbiamo iscritto, voi avete iscritto, loro hanno iscritto
[to register ],ISCRIVERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo iscritto, tu avevi iscritto, lui/lei aveva iscritto, noi avevamo iscritto, voi avevate iscritto, loro avevano iscritto
[to register ],ISCRIVERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi iscritto, tu avesti iscritto, lui/lei ebbe iscritto, noi avemmo iscritto, voi aveste iscritto, loro ebbero iscritto
[to register ],ISCRIVERE, INDICATIVO, FUTURO ANTERIORE, io avrò iscritto, tu avrai iscritto, lui/lei avrà iscritto, noi avremo iscritto, voi avrete iscritto, loro avranno iscritto
[to register ],ISCRIVERE, CONGIUNTIVO, PRESENTE, che io iscriva, che tu iscriva, che lui/lei iscriva, che noi iscriviamo, che voi iscriviate, che loro iscrivano
[to register ],ISCRIVERE, CONGIUNTIVO, IMPERFETTO, che io iscrivessi, che tu iscrivessi, che lui/lei iscrivesse, che noi iscrivessimo, che voi iscriveste, che loro iscrivessero
[to register ],ISCRIVERE, CONGIUNTIVO, PASSATO, che io abbia iscritto, che tu abbia iscritto, che lui/lei abbia iscritto, che noi abbiamo iscritto, che voi abbiate iscritto, che loro abbiano iscritto
[to register ],ISCRIVERE, CONGIUNTIVO, TRAPASSATO, che io avessi iscritto, che tu avessi iscritto, che lui/lei avesse iscritto, che noi avessimo iscritto, che voi aveste iscritto, che loro avessero iscritto
[to register ],ISCRIVERE, CONDIZIONALE, Presente, io iscriverei, tu iscriveresti, lui/lei iscriverebbe, noi iscriveremmo, voi iscrivereste, loro iscriverebbero
[to register ],ISCRIVERE, CONDIZIONALE, Passato, io avrei iscritto, tu avresti iscritto, lui/lei avrebbe iscritto, noi avremmo iscritto, voi avreste iscritto, loro avrebbero iscritto
[to register ],ISCRIVERE, IMPERATIVO, IMPERATIVO, PRESENTE,  iscrivi, iscriva, iscriviamo, iscrivete, iscrivano
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, PRESENTE, io prego, tu preghi, lui/lei prega, noi preghiamo, voi pregate, loro pregano
[to beg/plead/implore/beseech ],PREGARE, INDICATIVO, IMPERFETTO, io pregavo, tu pregavi, lui/lei pregava, noi pregavamo, voi pregavate, loro pregavano
