Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to breathe,atmen,atmend,geatmet,atmen - atmet - atmete - hat geatmet,ich,atme,atmest,atmet,atmen,atmet,atmen,ich,habe geatmet,hast geatmet,hat geatmet,haben geatmet,habt geatmet,haben geatmet,ich,atmete,atmetest,atmete,atmeten,atmetet,atmeten,ich,hatte geatmet,hattest geatmet,hatte geatmet,hatten geatmet,hattet geatmet,hatten geatmet,ich,werde atmen,wirst atmen,wird atmen,werden atmen,werdet atmen,werden atmen,ich,werde geatmet haben,wirst geatmet haben,wird geatmet haben,werden geatmet haben,werdet geatmet haben,werden geatmet haben,ich,atme,atmest,atme,atmen,atmet,atmen,ich,habe geatmet,habest geatmet,habe geatmet,haben geatmet,habet geatmet,haben geatmet,ich,atmete,atmetest,atmete,atmeten,atmetet,atmeten,ich,hätte geatmet,hättest geatmet,hätte geatmet,hätten geatmet,hättet geatmet,hätten geatmet,ich,würde atmen,würdest atmen,würde atmen,würden atmen,würdet atmen,würden atmen,ich,würde geatmet haben,würdest geatmet haben,würde geatmet haben,würden geatmet haben,würdet geatmet haben,würden geatmet haben,du,atme,ihr,atmet,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to strike [attract attention],auffallen,auffallend,aufgefallen,auffallen - fällt auf - fiel auf - ist aufgefallen,ich,falle auf,fällst auf,fällt auf,fallen auf,fallt auf,fallen auf,ich,bin aufgefallen,bist aufgefallen,ist aufgefallen,sind aufgefallen,seid aufgefallen,sind aufgefallen,ich,fiel auf,fielst auf,fiel auf,fielen auf,fielt auf,fielen auf,ich,war aufgefallen,warst aufgefallen,war aufgefallen,waren aufgefallen,wart aufgefallen,waren aufgefallen,ich,werde auffallen,wirst auffallen,wird auffallen,werden auffallen,werdet auffallen,werden auffallen,ich,werde aufgefallen sein,wirst aufgefallen sein,wird aufgefallen sein,werden aufgefallen sein,werdet aufgefallen sein,werden aufgefallen sein,ich,falle auf,fallest auf,falle auf,fallen auf,fallet auf,fallen auf,ich,sei aufgefallen,seiest aufgefallen,sei aufgefallen,seien aufgefallen,seiet aufgefallen,seien aufgefallen,ich,fiele auf,fielest auf,fiele auf,fielen auf,fielet auf,fielen auf,ich,wäre aufgefallen,wärest aufgefallen,wäre aufgefallen,wären aufgefallen,wäret aufgefallen,wären aufgefallen,ich,würde auffallen,würdest auffallen,würde auffallen,würden auffallen,würdet auffallen,würden auffallen,ich,würde aufgefallen sein,würdest aufgefallen sein,würde aufgefallen sein,würden aufgefallen sein,würdet aufgefallen sein,würden aufgefallen sein,du,falle auf,fall auf,ihr,fallt auf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to manage,auskommen,auskommend,ausgekommen,auskommen - kommt aus - kam aus - ist ausgekommen,ich,komme aus,kommst aus,kommt aus,kommen aus,kommt aus,kommen aus,ich,bin ausgekommen,bist ausgekommen,ist ausgekommen,sind ausgekommen,seid ausgekommen,sind ausgekommen,ich,kam aus,kamst aus,kam aus,kamen aus,kamt aus,kamen aus,ich,war ausgekommen,warst ausgekommen,war ausgekommen,waren ausgekommen,wart ausgekommen,waren ausgekommen,ich,werde auskommen,wirst auskommen,wird auskommen,werden auskommen,werdet auskommen,werden auskommen,ich,werde ausgekommen sein,wirst ausgekommen sein,wird ausgekommen sein,werden ausgekommen sein,werdet ausgekommen sein,werden ausgekommen sein,ich,komme aus,kommest aus,komme aus,kommen aus,kommet aus,kommen aus,ich,sei ausgekommen,seiest ausgekommen,sei ausgekommen,seien ausgekommen,seiet ausgekommen,seien ausgekommen,ich,käme aus,kämest aus,käme aus,kämen aus,kämet aus,kämen aus,ich,wäre ausgekommen,wärest ausgekommen,wäre ausgekommen,wären ausgekommen,wäret ausgekommen,wären ausgekommen,ich,würde auskommen,würdest auskommen,würde auskommen,würden auskommen,würdet auskommen,würden auskommen,ich,würde ausgekommen sein,würdest ausgekommen sein,würde ausgekommen sein,würden ausgekommen sein,würdet ausgekommen sein,würden ausgekommen sein,du,komme aus,komm aus,ihr,kommt aus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to exhibit [artist],ausstellen,ausstellend,ausgestellt,ausstellen - stellt aus - stellte aus - hat ausgestellt,ich,stelle aus,stellst aus,stellt aus,stellen aus,stellt aus,stellen aus,ich,habe ausgestellt,hast ausgestellt,hat ausgestellt,haben ausgestellt,habt ausgestellt,haben ausgestellt,ich,stellte aus,stelltest aus,stellte aus,stellten aus,stelltet aus,stellten aus,ich,hatte ausgestellt,hattest ausgestellt,hatte ausgestellt,hatten ausgestellt,hattet ausgestellt,hatten ausgestellt,ich,werde ausstellen,wirst ausstellen,wird ausstellen,werden ausstellen,werdet ausstellen,werden ausstellen,ich,werde ausgestellt haben,wirst ausgestellt haben,wird ausgestellt haben,werden ausgestellt haben,werdet ausgestellt haben,werden ausgestellt haben,ich,stelle aus,stellest aus,stelle aus,stellen aus,stellet aus,stellen aus,ich,habe ausgestellt,habest ausgestellt,habe ausgestellt,haben ausgestellt,habet ausgestellt,haben ausgestellt,ich,stellte aus,stelltest aus,stellte aus,stellten aus,stelltet aus,stellten aus,ich,hätte ausgestellt,hättest ausgestellt,hätte ausgestellt,hätten ausgestellt,hättet ausgestellt,hätten ausgestellt,ich,würde ausstellen,würdest ausstellen,würde ausstellen,würden ausstellen,würdet ausstellen,würden ausstellen,ich,würde ausgestellt haben,würdest ausgestellt haben,würde ausgestellt haben,würden ausgestellt haben,würdet ausgestellt haben,würden ausgestellt haben,du,stelle aus,ihr,stellt aus,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to remove sth. [clothes],sich ausziehen,ausziehend,ausgezogen,sich ausziehen - zieht aus - zog aus - hat ausgezogen,ich,ziehe aus,ziehst aus,zieht aus,ziehen aus,zieht aus,ziehen aus,ich,habe ausgezogen,hast ausgezogen,hat ausgezogen,haben ausgezogen,habt ausgezogen,haben ausgezogen,ich,zog aus,zogst aus,zog aus,zogen aus,zogt aus,zogen aus,ich,hatte ausgezogen,hattest ausgezogen,hatte ausgezogen,hatten ausgezogen,hattet ausgezogen,hatten ausgezogen,ich,werde mich ausziehen,wirst dich ausziehen,wird sich ausziehen,werden uns ausziehen,werdet euch ausziehen,werden sich ausziehen,ich,werde mich ausgezogen haben,wirst dich ausgezogen haben,wird sich ausgezogen haben,werden uns ausgezogen haben,werdet euch ausgezogen haben,werden sich ausgezogen haben,ich,ziehe aus,ziehest aus,ziehe aus,ziehen aus,ziehet aus,ziehen aus,ich,habe ausgezogen,habest ausgezogen,habe ausgezogen,haben ausgezogen,habet ausgezogen,haben ausgezogen,ich,zöge aus,zögest aus,zöge aus,zögen aus,zöget aus,zögen aus,ich,hätte ausgezogen,hättest ausgezogen,hätte ausgezogen,hätten ausgezogen,hättet ausgezogen,hätten ausgezogen,ich,würde mich ausziehen,würdest dich ausziehen,würde sich ausziehen,würden uns ausziehen,würdet euch ausziehen,würden sich ausziehen,ich,würde mich ausgezogen haben,würdest dich ausgezogen haben,würde sich ausgezogen haben,würden uns ausgezogen haben,würdet euch ausgezogen haben,würden sich ausgezogen haben,du,ziehe aus,zieh aus,ihr,zieht aus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geogr. Baden {adj} [attr.],baden,badend,gebadet,baden - badet - badete - hat gebadet,ich,bade,badest,badet,baden,badet,baden,ich,habe gebadet,hast gebadet,hat gebadet,haben gebadet,habt gebadet,haben gebadet,ich,badete,badetest,badete,badeten,badetet,badeten,ich,hatte gebadet,hattest gebadet,hatte gebadet,hatten gebadet,hattet gebadet,hatten gebadet,ich,werde baden,wirst baden,wird baden,werden baden,werdet baden,werden baden,ich,werde gebadet haben,wirst gebadet haben,wird gebadet haben,werden gebadet haben,werdet gebadet haben,werden gebadet haben,ich,bade,badest,bade,baden,badet,baden,ich,habe gebadet,habest gebadet,habe gebadet,haben gebadet,habet gebadet,haben gebadet,ich,badete,badetest,badete,badeten,badetet,badeten,ich,hätte gebadet,hättest gebadet,hätte gebadet,hätten gebadet,hättet gebadet,hätten gebadet,ich,würde baden,würdest baden,würde baden,würden baden,würdet baden,würden baden,ich,würde gebadet haben,würdest gebadet haben,würde gebadet haben,würden gebadet haben,würdet gebadet haben,würden gebadet haben,du,bade,ihr,badet,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to build,bauen,bauend,gebaut,bauen - baut - baute - hat gebaut,ich,baue,baust,baut,bauen,baut,bauen,ich,habe gebaut,hast gebaut,hat gebaut,haben gebaut,habt gebaut,haben gebaut,ich,baute,bautest,baute,bauten,bautet,bauten,ich,hatte gebaut,hattest gebaut,hatte gebaut,hatten gebaut,hattet gebaut,hatten gebaut,ich,werde bauen,wirst bauen,wird bauen,werden bauen,werdet bauen,werden bauen,ich,werde gebaut haben,wirst gebaut haben,wird gebaut haben,werden gebaut haben,werdet gebaut haben,werden gebaut haben,ich,baue,bauest,baue,bauen,bauet,bauen,ich,habe gebaut,habest gebaut,habe gebaut,haben gebaut,habet gebaut,haben gebaut,ich,baute,bautest,baute,bauten,bautet,bauten,ich,hätte gebaut,hättest gebaut,hätte gebaut,hätten gebaut,hättet gebaut,hätten gebaut,ich,würde bauen,würdest bauen,würde bauen,würden bauen,würdet bauen,würden bauen,ich,würde gebaut haben,würdest gebaut haben,würde gebaut haben,würden gebaut haben,würdet gebaut haben,würden gebaut haben,du,baue,ihr,baut,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to quiver,beben,bebend,gebebt,beben - bebt - bebte - hat gebebt,ich,bebe,bebst,bebt,beben,bebt,beben,ich,habe gebebt,hast gebebt,hat gebebt,haben gebebt,habt gebebt,haben gebebt,ich,bebte,bebtest,bebte,bebten,bebtet,bebten,ich,hatte gebebt,hattest gebebt,hatte gebebt,hatten gebebt,hattet gebebt,hatten gebebt,ich,werde beben,wirst beben,wird beben,werden beben,werdet beben,werden beben,ich,werde gebebt haben,wirst gebebt haben,wird gebebt haben,werden gebebt haben,werdet gebebt haben,werden gebebt haben,ich,bebe,bebest,bebe,beben,bebet,beben,ich,habe gebebt,habest gebebt,habe gebebt,haben gebebt,habet gebebt,haben gebebt,ich,bebte,bebtest,bebte,bebten,bebtet,bebten,ich,hätte gebebt,hättest gebebt,hätte gebebt,hätten gebebt,hättet gebebt,hätten gebebt,ich,würde beben,würdest beben,würde beben,würden beben,würdet beben,würden beben,ich,würde gebebt haben,würdest gebebt haben,würde gebebt haben,würden gebebt haben,würdet gebebt haben,würden gebebt haben,du,bebe,ihr,bebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to matter,bedeuten,bedeutend,bedeutet,bedeuten - bedeutet - bedeutete - hat bedeutet,ich,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten,ich,habe bedeutet,hast bedeutet,hat bedeutet,haben bedeutet,habt bedeutet,haben bedeutet,ich,bedeutete,bedeutetest,bedeutete,bedeuteten,bedeutetet,bedeuteten,ich,hatte bedeutet,hattest bedeutet,hatte bedeutet,hatten bedeutet,hattet bedeutet,hatten bedeutet,ich,werde bedeuten,wirst bedeuten,wird bedeuten,werden bedeuten,werdet bedeuten,werden bedeuten,ich,werde bedeutet haben,wirst bedeutet haben,wird bedeutet haben,werden bedeutet haben,werdet bedeutet haben,werden bedeutet haben,ich,bedeute,bedeutest,bedeute,bedeuten,bedeutet,bedeuten,ich,habe bedeutet,habest bedeutet,habe bedeutet,haben bedeutet,habet bedeutet,haben bedeutet,ich,bedeutete,bedeutetest,bedeutete,bedeuteten,bedeutetet,bedeuteten,ich,hätte bedeutet,hättest bedeutet,hätte bedeutet,hätten bedeutet,hättet bedeutet,hätten bedeutet,ich,würde bedeuten,würdest bedeuten,würde bedeuten,würden bedeuten,würdet bedeuten,würden bedeuten,ich,würde bedeutet haben,würdest bedeutet haben,würde bedeutet haben,würden bedeutet haben,würdet bedeutet haben,würden bedeutet haben,du,bedeute,ihr,bedeutet,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gastr. to help oneself,sich bedienen,bedienend,bedient,sich bedienen - bedient - bediente - hat bedient,ich,bediene,bedienst,bedient,bedienen,bedient,bedienen,ich,habe bedient,hast bedient,hat bedient,haben bedient,habt bedient,haben bedient,ich,bediente,bedientest,bediente,bedienten,bedientet,bedienten,ich,hatte bedient,hattest bedient,hatte bedient,hatten bedient,hattet bedient,hatten bedient,ich,werde mich bedienen,wirst dich bedienen,wird sich bedienen,werden uns bedienen,werdet euch bedienen,werden sich bedienen,ich,werde mich bedient haben,wirst dich bedient haben,wird sich bedient haben,werden uns bedient haben,werdet euch bedient haben,werden sich bedient haben,ich,bediene,bedienest,bediene,bedienen,bedienet,bedienen,ich,habe bedient,habest bedient,habe bedient,haben bedient,habet bedient,haben bedient,ich,bediente,bedientest,bediente,bedienten,bedientet,bedienten,ich,hätte bedient,hättest bedient,hätte bedient,hätten bedient,hättet bedient,hätten bedient,ich,würde mich bedienen,würdest dich bedienen,würde sich bedienen,würden uns bedienen,würdet euch bedienen,würden sich bedienen,ich,würde mich bedient haben,würdest dich bedient haben,würde sich bedient haben,würden uns bedient haben,würdet euch bedient haben,würden sich bedient haben,du,bediene,ihr,bedient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to be located,sich befinden,befindend,befunden,sich befinden - befindet - befand - hat befunden,ich,befinde,befindest,befindet,befinden,befindet,befinden,ich,habe befunden,hast befunden,hat befunden,haben befunden,habt befunden,haben befunden,ich,befand,befandest,befand,befanden,befandet,befanden,ich,hatte befunden,hattest befunden,hatte befunden,hatten befunden,hattet befunden,hatten befunden,ich,werde mich befinden,wirst dich befinden,wird sich befinden,werden uns befinden,werdet euch befinden,werden sich befinden,ich,werde mich befunden haben,wirst dich befunden haben,wird sich befunden haben,werden uns befunden haben,werdet euch befunden haben,werden sich befunden haben,ich,befinde,befindest,befinde,befinden,befindet,befinden,ich,habe befunden,habest befunden,habe befunden,haben befunden,habet befunden,haben befunden,ich,befände,befändest,befände,befänden,befändet,befänden,ich,hätte befunden,hättest befunden,hätte befunden,hätten befunden,hättet befunden,hätten befunden,ich,würde mich befinden,würdest dich befinden,würde sich befinden,würden uns befinden,würdet euch befinden,würden sich befinden,ich,würde mich befunden haben,würdest dich befunden haben,würde sich befunden haben,würden uns befunden haben,würdet euch befunden haben,würden sich befunden haben,du,befinde,befind,ihr,befindet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to release,befreien,befreiend,befreit,befreien - befreit - befreite - hat befreit,ich,befreie,befreist,befreit,befreien,befreit,befreien,ich,habe befreit,hast befreit,hat befreit,haben befreit,habt befreit,haben befreit,ich,befreite,befreitest,befreite,befreiten,befreitet,befreiten,ich,hatte befreit,hattest befreit,hatte befreit,hatten befreit,hattet befreit,hatten befreit,ich,werde befreien,wirst befreien,wird befreien,werden befreien,werdet befreien,werden befreien,ich,werde befreit haben,wirst befreit haben,wird befreit haben,werden befreit haben,werdet befreit haben,werden befreit haben,ich,befreie,befreiest,befreie,befreien,befreiet,befreien,ich,habe befreit,habest befreit,habe befreit,haben befreit,habet befreit,haben befreit,ich,befreite,befreitest,befreite,befreiten,befreitet,befreiten,ich,hätte befreit,hättest befreit,hätte befreit,hätten befreit,hättet befreit,hätten befreit,ich,würde befreien,würdest befreien,würde befreien,würden befreien,würdet befreien,würden befreien,ich,würde befreit haben,würdest befreit haben,würde befreit haben,würden befreit haben,würdet befreit haben,würden befreit haben,du,befreie,ihr,befreit,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to start,beginnen,beginnend,begonnen,beginnen - beginnt - begann - hat begonnen,ich,beginne,beginnst,beginnt,beginnen,beginnt,beginnen,ich,habe begonnen,hast begonnen,hat begonnen,haben begonnen,habt begonnen,haben begonnen,ich,begann,begannst,begann,begannen,begannt,begannen,ich,hatte begonnen,hattest begonnen,hatte begonnen,hatten begonnen,hattet begonnen,hatten begonnen,ich,werde beginnen,wirst beginnen,wird beginnen,werden beginnen,werdet beginnen,werden beginnen,ich,werde begonnen haben,wirst begonnen haben,wird begonnen haben,werden begonnen haben,werdet begonnen haben,werden begonnen haben,ich,beginne,beginnest,beginne,beginnen,beginnet,beginnen,ich,habe begonnen,habest begonnen,habe begonnen,haben begonnen,habet begonnen,haben begonnen,ich,begänne,begännest,begänne,begännen,begännet,begännen,ich,hätte begonnen,hättest begonnen,hätte begonnen,hätten begonnen,hättet begonnen,hätten begonnen,ich,würde beginnen,würdest beginnen,würde beginnen,würden beginnen,würdet beginnen,würden beginnen,ich,würde begonnen haben,würdest begonnen haben,würde begonnen haben,würden begonnen haben,würdet begonnen haben,würden begonnen haben,du,beginne,beginn,ihr,beginnt,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to accompany,begleiten,begleitend,begleitet,begleiten - begleitet - begleitete - hat begleitet,ich,begleite,begleitest,begleitet,begleiten,begleitet,begleiten,ich,habe begleitet,hast begleitet,hat begleitet,haben begleitet,habt begleitet,haben begleitet,ich,begleitete,begleitetest,begleitete,begleiteten,begleitetet,begleiteten,ich,hatte begleitet,hattest begleitet,hatte begleitet,hatten begleitet,hattet begleitet,hatten begleitet,ich,werde begleiten,wirst begleiten,wird begleiten,werden begleiten,werdet begleiten,werden begleiten,ich,werde begleitet haben,wirst begleitet haben,wird begleitet haben,werden begleitet haben,werdet begleitet haben,werden begleitet haben,ich,begleite,begleitest,begleite,begleiten,begleitet,begleiten,ich,habe begleitet,habest begleitet,habe begleitet,haben begleitet,habet begleitet,haben begleitet,ich,begleitete,begleitetest,begleitete,begleiteten,begleitetet,begleiteten,ich,hätte begleitet,hättest begleitet,hätte begleitet,hätten begleitet,hättet begleitet,hätten begleitet,ich,würde begleiten,würdest begleiten,würde begleiten,würden begleiten,würdet begleiten,würden begleiten,ich,würde begleitet haben,würdest begleitet haben,würde begleitet haben,würden begleitet haben,würdet begleitet haben,würden begleitet haben,du,begleite,ihr,begleitet,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kept {adj} {past-p},behalten,behaltend,behalten,behalten - behält - behielt - hat behalten,ich,behalte,behältst,behält,behalten,behaltet,behalten,ich,habe behalten,hast behalten,hat behalten,haben behalten,habt behalten,haben behalten,ich,behielt,behieltest,behielt,behielten,behieltet,behielten,ich,hatte behalten,hattest behalten,hatte behalten,hatten behalten,hattet behalten,hatten behalten,ich,werde behalten,wirst behalten,wird behalten,werden behalten,werdet behalten,werden behalten,ich,werde behalten haben,wirst behalten haben,wird behalten haben,werden behalten haben,werdet behalten haben,werden behalten haben,ich,behalte,behaltest,behalte,behalten,behaltet,behalten,ich,habe behalten,habest behalten,habe behalten,haben behalten,habet behalten,haben behalten,ich,behielte,behieltest,behielte,behielten,behieltet,behielten,ich,hätte behalten,hättest behalten,hätte behalten,hätten behalten,hättet behalten,hätten behalten,ich,würde behalten,würdest behalten,würde behalten,würden behalten,würdet behalten,würden behalten,ich,würde behalten haben,würdest behalten haben,würde behalten haben,würden behalten haben,würdet behalten haben,würden behalten haben,du,behalte,behalt,ihr,behaltet,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to bite,beissen,beissend,beisst,beissen - beisst - beisste - hat beisst,ich,beisse,beisst,beisst,beissen,beisst,beissen,ich,habe beisst,hast beisst,hat beisst,haben beisst,habt beisst,haben beisst,ich,beisste,beisstest,beisste,beissten,beisstet,beissten,ich,hatte beisst,hattest beisst,hatte beisst,hatten beisst,hattet beisst,hatten beisst,ich,werde beissen,wirst beissen,wird beissen,werden beissen,werdet beissen,werden beissen,ich,werde beisst haben,wirst beisst haben,wird beisst haben,werden beisst haben,werdet beisst haben,werden beisst haben,ich,beisse,beissest,beisse,beissen,beisset,beissen,ich,habe beisst,habest beisst,habe beisst,haben beisst,habet beisst,haben beisst,ich,beisste,beisstest,beisste,beissten,beisstet,beissten,ich,hätte beisst,hättest beisst,hätte beisst,hätten beisst,hättet beisst,hätten beisst,ich,würde beissen,würdest beissen,würde beissen,würden beissen,würdet beissen,würden beissen,ich,würde beisst haben,würdest beisst haben,würde beisst haben,würden beisst haben,würdet beisst haben,würden beisst haben,du,beisse,ihr,beisst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
